States,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,
Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,3,24,0,0,14,0,6,6,0,9,0,0,18,60,8,33,7,19,14,18,0,8,70,26,39,39,23,39,59,26,37,23,28,22,45,37,22,6,33,11,53,74,50,60,49,34,19,53,85,64,34,42,31,29,1,38,56,38,19,17,10,38,29,48,48,43,21,1,117,78,33,76,64,65,78,194,102,55,96,117,259,194,3455
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,1,3,0,2,3,1,0,0,5,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,3,18,7,5,5,7,41,51,8,13,3,5,37,12,0,66,9,6,66,12,67,8,12,7,30,34,15,79,4,6,40,5,19,20,769
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,7,5,6,17,8,0,6,61,1,3,1,3,3,0,6,4,0,0,7,0,1,8,0,1,0,7,0,1,0,11,4,0,0,10,0,5,17,19,13,6,5,8,16,4,2,0,8,2,25,0,7,13,4,9,15,1,7,5,18,18,1,421
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,12,7,28,27,4,0,15,0,6,16,13,3,0,0,7,12,2,2,0,4,0,14,15,31,0,3,12,60,1,0,0,9,14,13,6,2,43,14,27,13,39,1,1,44,7,4,8,20,8,18,30,10,5,8,9,2,26,134,5,69,11,69,12,128,26,59,123,101,108,134,42,215,153,92,2166
Odisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,0,6,0,1,0,2,3,0,0,6,2,1,0,1,1,2,1,1,2,14,1,4,0,0,1,1,1,5,0,17,31,27,15,8,30,24,57,30,36,50,43,61,53,99,84,79,75,90,73,76,119,80,91,65,123,112,178,99,140,149,72,120,120,114,146,120,73,97,153,237,186,143,125,135,168,131,184,137,203,243,164,149,203,229,290,262,217,303,401,565,388,390,505,609,612,401,453,607,516,457,400,440,643,808,728,864,581,687,878,807,772,756,681,1119,1409,1255,1150,1810,1544,1543,1236,1785,1673,1422,1305,1521,1550,1503,1535,1621,1641,1927,1773,52277
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,6,0,2,0,0,8,4,6,5,1,4,2,5,7,9,6,9,4,4,10,7,2,13,9,9,16,11,11,16,18,31,10,10,29,30,53,21,43,32,37,67,35,18,53,49,46,44,60,58,67,48,92,111,53,51,31,83,78,84,75,62,92,84,142,98,111,102,126,131,140,106,140,147,154,177,144,152,181,215,219,184,282,403,322,300,373,6307
Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,10,0,4,2,0,3,2,2,0,2,1,1,6,1,11,4,13,4,2,12,14,3,0,3,4,4,5,11,5,2,14,3,5,9,2,3,29,23,82,952,109,181,95,152,25,28,23,28,15,5,0,28,3,18,20,13,17,12,14,26,23,14,22,39,65,27,23,45,29,87,18,77,32,66,42,22,125,222,52,93,9,119,206,238,103,122,155,122,40,102,86,60,274,117,72,23,352,194,77,204,410,96,81,81,583,271,252,100,355,201,513,254,688,461,296,225,341,391,416,609,452,716,381,820,459,416,1055,422,627,489,535,568,749,1582,941,334,856,409,24302
Rajasthan,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,20,15,0,56,5,0,26,0,17,19,17,5,0,69,70,107,42,20,116,115,26,44,79,223,126,114,82,87,214,150,122,151,79,83,130,119,65,91,215,111,163,119,67,81,195,106,62,208,220,286,253,429,495,293,181,222,309,360,255,142,253,363,211,241,206,236,326,229,219,177,505,275,255,277,323,313,303,398,229,222,305,244,310,299,354,374,333,359,288,350,297,291,204,550,249,234,527,539,333,468,656,518,586,465,549,620,451,732,759,648,880,483,992,922,614,823,548,835,781,1017,1282,1064,968,1072,825,1339,1249,171,2078,1357,1350,1050,1306,1003,1227,1306,225,52721
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,16,0,4,4,0,10,0,0,10,0,0,1,2,0,0,0,9,4,0,6,0,9,0,1,6,-1,1,0,1,2,0,2,16,4,10,15,5,5,27,12,12,16,17,38,20,8,2,4,50,53,11,80,13,24,16,31,42,38,12,28,54,34,38,7,37,872
Tamil Nadu,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,2,0,5,6,2,6,17,0,6,8,23,37,62,103,82,46,46,178,27,90,114,94,60,54,54,82,48,54,29,38,30,76,31,31,58,219,135,92,83,41,65,359,939,634,234,489,987,400,846,363,833,407,611,567,639,765,687,757,413,536,610,585,861,633,604,528,798,1008,1372,1342,1362,1138,797,1438,842,1017,1630,1045,1438,1358,1227,2424,2236,1358,2737,1443,2212,2325,2852,3095,2357,2214,2186,3793,4545,3051,3994,4163,3591,3617,3035,4743,5000,5106,3391,3049,4059,3861,4894,4913,5210,6504,7758,5471,5723,4707,5927,5295,5778,7010,5517,5800,6501,6031,6272,6488,5043,6020,6037,6005,5633,5146,5556,5236,6019,5667,5850,6384,5742,5764,5603,313280
